date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:47	29951/29951	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202014%2002:39:44%20GMT	http://namsung.zz.mu/2013/11/	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/2013/11/index.html	(from http://namsung.zz.mu/)
09:39:47	2076/2076	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20Nov%202013%2004:50:00%20GMT	http://namsung.zz.mu/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=2.0.20	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.minbf86.js	(from http://namsung.zz.mu/)
09:39:48	9260/9260	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20Nov%202013%2004:50:00%20GMT	http://namsung.zz.mu/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.60	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.minc8cb.js	(from http://namsung.zz.mu/)
09:39:48	2263/2263	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20Nov%202013%2004:50:00%20GMT	http://namsung.zz.mu/wp-content/plugins/woocommerce/assets/js/jquery-placeholder/jquery.placeholder.min.js?ver=2.0.20	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/plugins/woocommerce/assets/js/jquery-placeholder/jquery.placeholder.minbf86.js	(from http://namsung.zz.mu/)
09:39:49	2710/2710	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20Nov%202013%2004:50:00%20GMT	http://namsung.zz.mu/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=2.0.20	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.minbf86.js	(from http://namsung.zz.mu/)
09:39:50	1240/1240	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20Nov%202013%2004:50:00%20GMT	http://namsung.zz.mu/wp-content/plugins/woocommerce/assets/js/jquery-cookie/jquery.cookie.min.js?ver=1.3.1	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/plugins/woocommerce/assets/js/jquery-cookie/jquery.cookie.mine7f0.js	(from http://namsung.zz.mu/)
09:39:50	1432/1432	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20Nov%202013%2004:50:00%20GMT	http://namsung.zz.mu/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=2.0.20	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.minbf86.js	(from http://namsung.zz.mu/)
09:39:51	3374/3374	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/includes/fonts//social.eot	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/includes/fonts/social.eot	(from http://namsung.zz.mu/wp-content/themes/ontopic/style.css?ver=3.7.1)
09:39:52	4480/4480	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/includes/fonts/social.woff	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/includes/fonts/social.woff	(from http://namsung.zz.mu/wp-content/themes/ontopic/style.css?ver=3.7.1)
09:39:53	3374/3374	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/includes/fonts//social.eot?	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/includes/fonts/sociald41d.eot	(from http://namsung.zz.mu/wp-content/themes/ontopic/style.css?ver=3.7.1)
09:39:53	3200/3200	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/includes/fonts/social.ttf	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/includes/fonts/social.ttf	(from http://namsung.zz.mu/wp-content/themes/ontopic/style.css?ver=3.7.1)
09:39:53	9801/9801	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/includes/fonts/social.svg	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/includes/fonts/social.svg	(from http://namsung.zz.mu/wp-content/themes/ontopic/style.css?ver=3.7.1)
09:39:57	25395/25395	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/includes/fonts//fontawesome-webfont.eot	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/includes/fonts/fontawesome-webfont.eot	(from http://namsung.zz.mu/wp-content/themes/ontopic/style.css?ver=3.7.1)
09:39:59	29380/29380	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/includes/fonts//fontawesome-webfont.woff	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/includes/fonts/fontawesome-webfont.woff	(from http://namsung.zz.mu/wp-content/themes/ontopic/style.css?ver=3.7.1)
09:39:59	25395/25395	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/includes/fonts//fontawesome-webfont.eot?	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/includes/fonts/fontawesome-webfontd41d.eot	(from http://namsung.zz.mu/wp-content/themes/ontopic/style.css?ver=3.7.1)
09:40:03	138488/138488	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2010%20Oct%202013%2014:25:29%20GMT	http://namsung.zz.mu/wp-content/themes/ontopic/includes/fonts//fontawesome-webfont.svg	C:/Users/Do/Desktop/site/nam%20test/namsung.zz.mu/wp-content/themes/ontopic/includes/fonts/fontawesome-webfont.svg	(from http://namsung.zz.mu/wp-content/themes/ontopic/style.css?ver=3.7.1)
